Size	Method	Real Time(s)	Flops/Cycle	MFLOPS	Relative Error
480	ikj	1.230240e+00	0.774786	3267.833634	1.114810
480	jik	1.230420e+00	0.774673	3267.442914	1.113224
480	jki	1.229790e+00	0.774911	3268.987006	1.117429
480	kij	1.229250e+00	0.774923	3270.526606	1.113251
480	kji	1.229600e+00	0.774829	3269.405872	1.114274
480	dgemm_1	8.441100e-01	0.790480	3335.344576	1.114829
480	dgemm_2	3.956500e-01	1.365392	5751.065260	1.112880
480	dgemm_3	2.279500e-01	2.450675	10337.447686	1.113563
480	dgemm_4	2.859100e-01	2.151278	9074.100626	1.112206
480	atlas	9.132000e-02	5.794321	24400.174989	0.000000
520	ijk	2.232280e+00	0.736477	3107.301203	1.183023
520	ikj	2.232450e+00	0.736496	3107.237045	1.180053
520	jik	2.232320e+00	0.736461	3107.236247	1.180921
520	jki	2.233460e+00	0.736477	3105.440684	1.183930
520	kij	2.232160e+00	0.736436	3107.285979	1.186244
520	kji	2.232340e+00	0.736458	3107.136287	1.180172
520	dgemm_1	1.020630e+00	0.817799	3448.955234	1.179359
520	dgemm_2	5.215700e-01	1.321734	5576.371494	1.180948
520	dgemm_3	3.290900e-01	2.212083	9279.985050	1.178451
520	dgemm_4	3.902900e-01	2.024486	8541.369110	1.179137
520	atlas	1.127500e-01	5.966151	25136.255521	0.000000
560	ijk	7.100680e+00	0.755822	3188.813556	1.288218
560	ikj	7.099870e+00	0.755790	3188.920222	1.285424
560	jik	7.101480e+00	0.755810	3188.325798	1.283591
560	jki	7.101230e+00	0.755815	3188.428557	1.282963
560	kij	7.102730e+00	0.755775	3187.699856	1.287339
560	kji	7.101110e+00	0.755790	3188.458200	1.283084
560	dgemm_1	1.432460e+00	0.773761	3259.977019	1.284507
560	dgemm_2	7.634300e-01	1.147107	4835.697261	1.280397
560	dgemm_3	5.433500e-01	1.751069	7387.154284	1.281762
560	dgemm_4	6.110800e-01	1.668545	7039.762650	1.277390
560	atlas	1.446100e-01	5.807834	24463.162990	0.000000
600	ijk	8.301950e+00	0.727216	3067.798023	1.400110
600	ikj	8.301990e+00	0.727218	3067.740297	1.400177
600	jik	8.301600e+00	0.727232	3067.959637	1.400123
600	jki	8.301330e+00	0.727227	3068.008690	1.401316
600	kij	8.299810e+00	0.727225	3068.569623	1.400907
600	kji	8.300270e+00	0.727220	3068.370743	1.397277
600	dgemm_1	1.748170e+00	0.778374	3281.166345	1.400443
600	dgemm_2	9.499900e-01	1.136622	4794.851546	1.396371
600	dgemm_3	6.645600e-01	1.757456	7413.542208	1.394803
600	dgemm_4	7.876100e-01	1.590089	6698.981501	1.396165
600	atlas	1.729200e-01	5.972097	25158.097328	0.000000
640	ijk	1.299115e+01	0.738109	3113.296533	1.477389
640	ikj	1.299059e+01	0.738086	3113.442390	1.476091
640	jik	1.299262e+01	0.738018	3112.700786	1.474307
640	jki	1.299246e+01	0.738033	3112.808328	1.477321
640	kij	1.299012e+01	0.738080	3113.513436	1.477351
640	kji	1.298956e+01	0.738112	3113.690477	1.475116
640	dgemm_1	2.610470e+00	0.677185	2853.840362	1.476079
640	dgemm_2	1.515290e+00	0.881001	3714.424387	1.468699
640	dgemm_3	9.267200e-01	1.571942	6624.664559	1.461887
640	dgemm_4	1.057650e+00	1.477810	6227.611336	1.468300
640	atlas	2.085200e-01	6.009758	25310.536591	0.000000
680	ijk	1.753979e+01	0.785195	3311.670289	1.523679
680	ikj	1.753925e+01	0.785174	3311.719424	1.523353
680	jik	1.754022e+01	0.785181	3311.560724	1.520216
680	jki	1.754068e+01	0.785179	3311.458054	1.523828
680	kij	1.754197e+01	0.785172	3311.211471	1.523755
680	kji	1.753908e+01	0.785129	3311.604460	1.524516
680	dgemm_1	2.635360e+00	0.770765	3247.203965	1.525897
680	dgemm_2	1.446030e+00	1.092369	4604.812258	1.510097
680	dgemm_3	1.256190e+00	1.412611	5954.228485	1.513484
680	dgemm_4	1.359260e+00	1.379491	5814.211108	1.516315
680	atlas	2.485600e-01	6.065356	25463.195285	0.000000
720	ijk	1.895456e+01	0.776733	3274.781942	1.531624
720	ikj	1.895407e+01	0.776708	3274.717200	1.530358
720	jik	1.895419e+01	0.776741	3274.838958	1.530379
720	jki	1.895425e+01	0.776736	3274.831271	1.535361
720	kij	1.895481e+01	0.776727	3274.660249	1.532931
720	kji	1.895837e+01	0.776479	3273.240178	1.531635
720	dgemm_1	3.128380e+00	0.768892	3238.869370	1.527936
720	dgemm_2	1.674890e+00	1.115507	4701.395883	1.523210
720	dgemm_3	1.565600e+00	1.326451	5592.119271	1.525490
720	dgemm_4	1.714130e+00	1.286231	5420.356216	1.525049
720	atlas	2.995100e-01	5.956884	25076.069146	0.000000
760	ijk	2.455299e+01	0.779844	3287.800689	1.562419
760	ikj	2.455441e+01	0.779855	3287.655646	1.558851
760	jik	2.455263e+01	0.779848	3287.892937	1.558984
760	jki	2.455363e+01	0.779872	3287.825890	1.562135
760	kij	2.455552e+01	0.779792	3287.299876	1.559899
760	kji	2.455410e+01	0.779803	3287.521741	1.559292
760	dgemm_1	3.672930e+00	0.772262	3253.602146	1.559979
760	dgemm_2	2.000580e+00	1.102629	4640.726779	1.551068
760	dgemm_3	2.133200e+00	1.165217	4908.896803	1.553769
760	dgemm_4	2.316010e+00	1.130425	4762.860739	1.552994
760	atlas	3.466000e-01	6.054941	25493.078332	0.000000
800	ijk	2.784857e+01	0.757351	3192.699909	1.574077
800	ikj	2.784882e+01	0.757280	3192.450369	1.578229
800	jik	2.784900e+01	0.757325	3192.674674	1.578195
800	jki	2.784917e+01	0.757262	3192.413116	1.577321
800	kij	2.784837e+01	0.757312	3192.619211	1.576486
800	kji	2.785045e+01	0.757239	3192.183019	1.573530
800	dgemm_1	4.824820e+00	0.707654	2980.616995	1.576171
800	dgemm_2	2.797320e+00	0.928283	3907.425157	1.569403
800	dgemm_3	2.702430e+00	1.079532	4546.830245	1.572707
800	dgemm_4	3.040780e+00	1.013813	4270.296569	1.570630
800	atlas	4.088000e-01	5.989980	25215.535665	0.000000
840	ijk	3.190178e+01	0.764396	3221.021347	1.582471
840	ikj	3.190129e+01	0.764424	3221.162786	1.585176
840	jik	3.189970e+01	0.764413	3221.277363	1.585675
840	jki	3.190086e+01	0.764448	3221.272682	1.585509
840	kij	3.189955e+01	0.764450	3221.411314	1.587565
840	kji	3.190079e+01	0.764417	3221.155609	1.584932
840	dgemm_1	5.805960e+00	0.662004	2786.881883	1.582953
840	dgemm_2	3.388360e+00	0.880200	3706.276207	1.581075
840	dgemm_3	3.438860e+00	0.972669	4093.989441	1.579326
840	dgemm_4	3.929130e+00	0.893080	3760.731457	1.579284
840	atlas	4.770300e-01	5.949691	25018.600843	0.000000
880	ijk	3.775342e+01	0.780708	3290.581398	1.557149
880	ikj	3.775394e+01	0.780804	3290.736854	1.557500
880	jik	3.775389e+01	0.780807	3290.698325	1.554994
880	jki	3.775571e+01	0.780730	3290.433078	1.556617
880	kij	3.775596e+01	0.780685	3290.290943	1.555406
880	kji	3.775543e+01	0.780755	3290.574585	1.554668
880	dgemm_1	7.380680e+00	0.602736	2537.390895	1.558046
880	dgemm_2	4.697770e+00	0.732108	3081.926929	1.550033
880	dgemm_3	4.512850e+00	0.861394	3625.359660	1.551444
880	dgemm_4	5.176580e+00	0.784326	3301.921543	1.553327
880	atlas	5.756500e-01	5.662332	23837.487553	0.000000
920	ijk	4.439550e+01	0.774578	3264.507303	1.566232
920	ikj	4.439458e+01	0.774635	3264.817179	1.561493
920	jik	4.439783e+01	0.774522	3264.117283	1.566129
920	jki	4.439717e+01	0.774588	3264.396390	1.567146
920	kij	4.439423e+01	0.774613	3264.737603	1.564788
920	kji	4.439525e+01	0.774578	3264.547283	1.566678
920	dgemm_1	6.916830e+00	0.734759	3092.077047	1.563858
920	dgemm_2	4.423080e+00	0.887630	3735.898795	1.560561
920	dgemm_3	5.590160e+00	0.797450	3356.688549	1.561060
920	dgemm_4	6.061680e+00	0.763549	3213.020813	1.558451
920	atlas	6.511900e-01	5.720247	24079.354090	0.000000
960	ijk	5.111858e+01	0.727331	3066.139349	1.569593
960	ikj	5.112555e+01	0.726828	3063.910154	1.569967
960	jik	5.108801e+01	0.728285	3069.994424	1.570285
960	jki	5.110069e+01	0.727995	3068.587995	1.570307
960	kij	5.108344e+01	0.728491	3070.666649	1.573387
960	kji	5.109122e+01	0.728305	3069.721779	1.570257
960	dgemm_1	9.611230e+00	0.632230	2660.132301	1.568389
960	dgemm_2	5.841600e+00	0.776201	3264.029379	1.565012
960	dgemm_3	6.708790e+00	0.769801	3238.098969	1.566525
960	dgemm_4	7.054220e+00	0.758356	3190.479120	1.565808
960	atlas	7.309800e-01	5.789259	24375.931175	0.000000
1000	ijk	5.758614e+01	0.763448	3215.966584	1.584882
1000	ikj	5.758635e+01	0.763466	3216.031138	1.585281
1000	jik	5.759041e+01	0.763431	3215.689107	1.587172
1000	jki	5.759411e+01	0.763416	3215.431671	1.582740
1000	kij	5.759368e+01	0.763398	3215.400406	1.584618
1000	kji	5.758620e+01	0.763465	3216.015625	1.583822
1000	dgemm_1	9.201140e+00	0.714267	3005.397791	1.584749
1000	dgemm_2	5.414190e+00	0.933309	3926.337040	1.578619
1000	dgemm_3	7.627760e+00	0.754381	3173.501999	1.578324
1000	dgemm_4	7.742150e+00	0.768015	3230.575179	1.578744
1000	atlas	8.193400e-01	5.837948	24579.698513	0.000000
